STT	Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	TempImg	PhysicalDamageBase
0	§«ng B¾c hæ 	0	5	555	1			43				ani001	0	0	0	0	0	28	28	20	10	20	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				7	7	18	18	400	50	700	3	60	30	60	40	60	10	0	0	10						60	75	75	90	75	810	100		36		0
1	Hoa Nam hæ 	0	5	555	1			44				ani002	0	0	0	0	0	24	35	25	10	20	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				7	7	18	18	400	50	700	6	60	30	70	70	50	10	0	0	10						75	75	90	75	60	810	100		36		0
2	B¹ch Hæ 	0	5	555	1			45				ani003	0	0	0	0	0	24	26	20	10	20	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				7	7	18	18	400	50	700	1	80	40	30	0	0	20	0	0	0						90	75	60	75	75	810	100		36		0
3	Kim TiÒn b¸o	0	5	555	1			47				ani005	0	0	0	0	0	30	36	30	10	21	13	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	60	30	60	40	60	10	0	0	10						75	60	75	75	90	810	100		36		0
4	B¸o tr¾ng	0	5	555	1			48				ani006	0	0	0	0	0	28	28	31	8	14	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	60	30	60	40	60	10	0	0	10						75	90	75	60	75	810	100		36		0
5	Sãi x¸m	0	5	555	1			51				ani009	0	0	0	0	0	15	28	26	10	20	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	6	70	30	60	40	40	20	0	0	10						60	75	75	90	75	810	100		36		0
6	Sãi ®á	0	5	555	1			52				ani010	0	0	0	0	0	18	28	26	10	12	13	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	6	60	30	60	40	60	10	0	10	0						75	75	90	75	60	810	100		36		0
7	Sãi xanh	0	5	555	1			53				ani011	0	0	0	0	0	10	28	20	9	12	10	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	60	30	60	40	60	10	0	0	10						90	75	60	75	75	810	100		36		0
8	Sãi tuyÕt	0	5	555	1			54				ani012	0	0	0	0	0	12	22	16	9	15	10	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	6	70	30	60	40	60	10	0	0	10						75	60	75	75	90	810	100		36		0
9	Hå ly	0	5	555	1			55				ani013	0	0	0	0	0	14	30	14	10	21	9	198	1	198	1	198	1	198	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				5	5	18	18	400	10	700	3	70	50	90	40	40	20	0	10	0						75	90	75	60	75	810	100		36		0
10	Háa Hå 	0	5	555	1			57				ani015	0	0	0	0	0	12	30	14	11	22	9	197	1	198	1	198	1	198	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	80	30	90	40	40	20	0	10	0						60	75	75	90	75	810	100		36		0
11	Heo rõng	0	5	555	1			60				ani018	0	0	0	0	0	10	43	30	12	22	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	4	80	60	20	0	0	20	0	0	0						75	75	90	75	60	810	100		36		0
12	NhÝm	0	5	555	1			61				ani019	0	0	0	0	0	14	11	17	10	20	13	53	1	53	1	53	1	53	1		\script\npclevelscript\stupidanimal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	60	30	50	40	60	0	0	0	10						90	75	60	75	75	810	100		36		0
13	§¹i T­îng	0	5	555	1			63				ani021	0	0	0	0	0	38	38	38	12	24	16	1	1	1	1	1	1	1	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				5	5	18	18	400	50	700	3	60	30	50	40	60	0	0	0	10						75	60	75	75	90	810	148		36		0
14	Voi Hoµng hµ 	0	5	555	1			66				ani024	0	0	0	0	0	38	38	38	12	24	16	1	1	1	1	1	1	1	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				5	5	18	18	400	50	700	3	60	30	50	40	60	0	0	0	10						75	90	75	60	75	810	148		36		0
15	GÊu n©u	0	5	555	1			67				ani025	0	0	0	0	0	14	24	31	12	27	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				5	5	18	18	400	50	700	3	70	40	80	80	50	10	0	0	10						60	75	75	90	75	810	100		36		0
16	GÊu ®en	0	5	555	1			68				ani026	0	0	0	0	0	14	16	26	12	21	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				5	5	18	18	400	50	700	3	60	40	80	80	50	10	0	0	20						75	75	90	75	60	810	100		36		0
17	Tr©u rõng	0	5	555	1			71				ani029	0	0	0	0	0	30	32	36	15	23	15	1	1	1	1	1	1	1	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	4	70	50	10	0	0	20	0	0	0						90	75	60	75	75	810	100		36		0
18	C¸ sÊu	0	5	555	1			75				ani033	0	0	0	0	0	30	30	30	9	26	15	1	1	1	1	1	1	1	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	50	700	1	80	60	20	0	0	0	20	0	0						75	60	75	75	90	810	100		36		0
19	Th»n l»n ®á	0	5	555	1			78				ani036	0	0	0	0	0	32	32	32	9	24	15	1	1	1	1	1	1	1	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	50	700	3	70	30	80	60	50	20	0	0	10						75	90	75	60	75	810	100		36		0
20	Nh·n KÝnh M·ng xµ 	0	5	555	1			79				ani037	0	0	0	0	0	27	27	24	10	11	15	200	1	200	1	200	1	200	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	10	700	3	80	40	80	70	60	10	0	0	10						60	75	75	90	75	810	100		36		0
21	R¾n xanh	0	5	555	1			80				ani038	0	0	0	0	0	13	20	19	10	20	6	200	1	200	1	200	1	200	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	10	700	3	80	40	80	70	60	10	0	0	10						75	75	90	75	60	810	100		36		0
22	Kim Hoµn M·ng Xµ 	0	5	555	1			81				ani039	0	0	0	0	0	35	35	26	10	22	14	200	1	200	1	200	1	200	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	10	700	3	80	40	80	70	60	10	0	10	0						90	75	60	75	75	810	100		36		0
23	XÝch LuyÖn Xµ 	0	5	555	1			82				ani040	0	0	0	0	0	15	13	14	10	20	7	200	1	200	1	200	1	200	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	80	40	80	60	60	10	0	10	0						75	60	75	75	90	810	100		36		0
24	Kim §iªu	0	5	555	1			83				ani041	0	0	0	0	0	9	9	15	10	4	7	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	3	30	30	50	60	70	0	0	0	10						75	90	75	60	75	810	160		36		0
25	Th­¬ng ­ng	0	5	555	1			84				ani042	0	0	0	0	0	20	20	28	10	12	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	6	80	30	60	60	70	0	0	0	10						60	75	75	90	75	810	130		36		0
26	KÒn KÒn	0	5	555	1			85				ani043	0	0	0	0	0	12	14	16	10	9	8	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	3	80	30	70	60	70	0	0	0	10						75	75	90	75	60	810	130		36		0
27	D¬i chóa	0	5	555	1			87				ani045	0	0	0	0	0	12	27	28	10	10	18	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	6	70	40	50	60	60	0	0	10	0						90	75	60	75	75	810	112		36		0
28	D¬i chóa ®á	0	5	555	1			88				ani046	0	0	0	0	0	14	23	28	10	10	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	3	80	30	50	60	70	0	0	10	0						75	60	75	75	90	810	112		36		0
29	D¬i Dong	0	5	555	1			89				ani047	0	0	0	0	0	14	23	28	10	10	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	3	60	30	50	60	60	0	0	10	0						75	90	75	60	75	810	112		36		0
30	D¬i hót m¸u	0	5	555	1			90				ani048	0	0	0	0	0	14	23	28	10	10	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				8	8	18	18	400	50	700	6	60	30	80	80	50	0	0	0	10						60	75	75	90	75	810	112		36		0
31	Kim Miªu	0	5	555	1			91				ani049	0	0	0	0	0	24	29	24	7	22	14	197	1	197	1	197	1	197	1		\script\npclevelscript\stupidanimal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	1	60	10	10	0	0	0	20	0	0						75	75	90	75	60	810	100		36		0
32	X¸ LÞ 	0	5	555	1			92				ani050	0	0	0	0	0	14	16	19	8	9	15	197	1	197	1	197	1	197	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	1	90	30	30	0	0	0	20	0	0						90	75	60	75	75	810	100		36		0
33	Ho¸n hïng	0	5	555	1			93				ani051	0	0	0	0	0	11	22	28	8	8	16	197	1	197	1	197	1	197	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	4	70	20	40	0	0	0	20	0	0						75	60	75	75	90	810	100		36		0
34	Linh Miªu	0	5	555	1			94				ani052	0	0	0	0	0	14	22	22	7	8	12	197	1	197	1	197	1	197	1		\script\npclevelscript\stupidanimal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	50	30	50	40	70	0	0	20	0						75	90	75	60	75	960	100		36		0
35	Tµng Vùc hÇu	0	5	555	1			95				ani053	0	0	0	0	0	30	31	23	8	21	12	196	1	196	1	196	1	196	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	30	30	50	40	70	0	0	0	10						60	75	75	90	75	810	100		36		0
36	KhØ x¸m	0	5	555	1			96				ani054	0	0	0	0	0	36	31	28	8	19	13	196	1	196	1	196	1	196	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	20	30	50	40	70	0	0	10	0						75	75	90	75	60	810	100		36		0
37	H¾c DiÖp HÇu 	0	5	555	1			97				ani055	0	0	0	0	0	30	31	22	8	21	13	196	1	196	1	196	1	196	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	20	20	50	40	70	0	0	10	0						90	75	60	75	75	810	100		36		0
38	Kim T¬ HÇu	0	5	555	1			98				ani056	0	0	0	0	0	24	25	22	8	18	12	196	1	196	1	196	1	196	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	3	30	30	50	40	70	0	0	10	0						75	60	75	75	90	810	100		36		0
39	Sµi	0	5	555	1			100				ani058	0	0	0	0	0	32	32	36	10	22	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	30	700	3	30	30	50	40	70	0	0	10	0						75	90	75	60	75	810	100		36		0
40	TuyÕt Qu¸i	0	5	555	1			101				ani059	0	0	0	0	0	28	28	28	8	27	13	53	1	102	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				5	5	18	18	400	30	700	3	30	30	50	40	70	0	0	10	0						60	75	75	90	75	810	100		36		0
41	Cãc	0	5	555	1			102				ani060	0	0	0	0	0	36	36	26	12	24	12	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	30	700	1	40	40	20	0	0	20	0	0	0						75	75	90	75	60	810	100		36		0
42	H­¬u ®èm	0	5	555	1			103				ani061	0	0	0	0	0	35	35	31	11	22	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				4	4	18	18	400	30	700	4	80	40	10	0	0	0	10	0	0						90	75	60	75	75	960	100		36		0
43	Heo tr¾ng	0	5	555	1			105				ani063	0	0	0	0	0	31	36	31	10	20	13	53	1	53	1	53	1	53	1		\script\npclevelscript\stupidanimal.lua	100				100					100				100				100				100				3	3	18	18	400	30	700	4	60	20	10	0	0	0	10	0	0						75	60	75	75	90	960	100		36		0
44	Bä c¹p	0	5	555	1			107				ani065	0	0	0	0	0	21	20	24	9	21	14	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	10	700	1	50	40	20	0	0	20	0	0	0						75	90	75	60	75	810	100		36		0
45	NhÖn	0	5	555	1			108				ani066	0	0	0	0	0	30	30	30	6	6	12	53	1	2	1	2	1	2	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	30	700	3	60	30	70	70	70	0	0	10	20						75	75	75	75	75	810	100		36		0
46	RÕt	0	5	555	1			109				ani067	0	0	0	0	0	18	17	24	8	12	13	53	1	53	1	53	1	53	1		\script\npclevelscript\animal.lua	100				100					100				100				100				100				6	6	18	18	400	30	700	3	30	30	50	50	70	0	0	10	0						75	75	75	75	75	810	100		36		0
47	Tèng Quan viªn 1	3	6	555	3			112				enemy003	0	0	0	0	0	24	33	20	11	23	17	172	1	172	1	172	1	172	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	30	30	50	60	50	0	0	10	0						60	75	75	90	75	1080	100		36		0
48	Tèng Quan viªn 2	3	6	555	3			113				enemy004	0	0	0	0	0	30	30	20	11	23	15	128	1	165	1	179	1	238	1		\script\npclevelscript\strong.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	0	50	30	20	10	70	0	0						75	75	90	75	75	1080	100		36		0
49	Kim Quan viªn 1	3	6	555	3			114				enemy005	0	0	0	0	0	23	23	18	12	18	10	68	1	68	1	68	1	68	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	30	30	50	60	50	0	0	10	0						90	75	60	75	75	1080	100		36		0
50	Kim Quan viªn 2	3	6	555	3			115				enemy006	0	0	0	0	0	24	27	21	10	24	12	53	1	141	1	68	1	233	1		\script\npclevelscript\strong.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	1	50	0	50	30	20	10	70	0	0						75	75	75	75	90	1080	100		36		0
51	¸c b¸ 	3	6	555	1			116				enemy007	0	0	0	0	0	27	27	31	10	23	12	53	1	53	1	53	1	53	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	30	30	50	50	50	0	0	10	0						75	90	75	60	75	1080	100		36		0
52	B¸t B× 	3	6	555	1			125				enemy016	0	0	0	0	0	23	36	14	10	19	14	53	1	234	1	234	1	234	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	30	30	50	50	50	0	0	10	0						60	75	75	90	75	1080	100		36		0
53	Tèng Vâ t­íng 1	3	6	555	3			126				enemy017	0	0	0	0	0	24	26	19	10	26	12	53	1	31	1	31	1	31	1		\script\npclevelscript\standard.lua	100				100					100				100				100				100				6	6	18	18	400	50	700	3	30	30	50	50	50	0	0	10	0						75	75	90	75	60	1080	100		36		0
