STT	Lo¹i b¸n	Hµng hot	ItemGenre	DetailType	ParticularType	Series	Level	Gi¸ thùc	Gi¸ cò(gi¶)	Thêi h¹n	TÝnh kÕt thóc thêi h¹n	Ghi chó(kh«ng load)
0	1	1	5	84	0	5	0	10	10	10080	0	hoahong
0	1	1	5	85	0	5	0	500	500	10080	0	tuihoahong
0	1	1	3	40	0	5	0	20	20	21600	0	tukhoang
0	1	1	2	114	0	5	0	1000	1000	21600	0	ruongtukhoang
0	1	1	2	99	0	5	0	1200	1500	10080	0	thedoiten
0	2	1	2	101	0	5	0	20	20	43200	0	nguhanhphu
0	2	0	2	9	0	5	0	50	50	43200	0	thodiaphu
0	2	0	2	10	0	5	0	300	300	43200	0	thanhanhphu
0	2	0	2	13	0	5	0	40	40	10080	0	volammt
0	2	0	2	14	0	5	0	40	40	10080	0	taytuykinh
0	2	1	3	17	0	5	0	150	150	0	1	knb
0	2	0	2	45	0	5	0	30	30	10080	0	thienthaolo
0	2	0	2	49	0	5	0	170	180	10080	0	thienthaolodb
0	2	0	2	46	0	5	0	30	30	10080	0	thiensonbl
10	2	0	2	48	0	5	0	100	100	10080	0	quehoatuu
11	2	1	4	2	0	5	0	40	50	10080	0	nvht
12	2	0	2	3	0	5	0	20	20	10080	0	bch9x
13	2	0	3	34	0	5	0	25	25	10080	0	lbPLD
13	2	0	2	88	0	5	0	30	40	10080	0	bch
14	3	0	3	13	0	5	0	40	40	10080	0	thuytinh
15	3	0	3	14	0	5	0	40	40	10080	0	thuytinh
16	3	0	3	15	0	5	0	40	40	10080	0	thuytinh
17	3	0	3	20	0	5	0	30	30	10080	0	thbt
18	6	0	0	11	12	5	1	100	120	21600	0	matna
19	6	0	0	11	14	5	1	100	120	21600	0	matna
20	6	0	0	11	15	5	1	100	120	21600	0	matna
21	6	0	0	11	16	5	1	100	120	21600	0	matna
22	6	0	0	11	22	5	1	100	120	21600	0	matna
23	6	0	0	11	88	5	1	100	120	21600	0	matna
24	6	0	0	11	90	5	1	100	120	21600	0	matna
25	6	0	0	11	21	5	1	100	120	21600	0	matna
26	6	0	0	11	92	5	1	100	120	21600	0	matna
27	6	0	0	11	17	5	1	100	120	21600	0	matna
28	6	0	0	11	20	5	1	100	120	21600	0	matna
29	6	0	0	11	91	5	1	100	120	21600	0	matna
30	6	0	0	11	18	5	1	100	120	21600	0	matna
31	6	0	0	11	89	5	1	100	120	21600	0	matna
32	6	0	0	11	93	5	1	100	120	21600	0	matna
36	5	0	5	7	0	5	0	200	250	43200	0	ma bai
37	5	0	5	8	0	5	0	200	250	43200	0	ma bai
38	5	0	5	9	0	5	0	200	250	43200	0	ma bai
39	5	0	5	10	0	5	0	200	250	43200	0	ma bai
39	5	0	5	11	0	5	0	300	500	43200	0	ma bai
39	5	0	5	12	0	5	0	500	500	43200	0	ma bai
40	4	0	4	3	0	5	1	40	40	0	1	bi kip
41	4	0	4	4	0	5	1	40	40	0	1	bi kip
42	4	0	4	5	0	5	1	40	40	0	1	bi kip
43	4	0	4	6	0	5	1	40	40	0	1	bi kip
44	4	0	4	7	0	5	1	40	40	0	1	bi kip
45	4	0	4	8	0	5	1	40	40	0	1	bi kip
46	4	0	4	9	0	5	1	40	40	0	1	bi kip
47	4	0	4	10	0	5	1	40	40	0	1	bi kip
48	4	0	4	11	0	5	1	40	40	0	1	bi kip
49	4	0	4	12	0	5	1	40	40	0	1	bi kip
50	4	0	4	13	0	5	1	40	40	0	1	bi kip
51	4	0	4	14	0	5	1	40	40	0	1	bi kip
52	4	0	4	15	0	5	1	40	40	0	1	bi kip
53	4	0	4	16	0	5	1	40	40	0	1	bi kip
54	4	0	4	17	0	5	1	40	40	0	1	bi kip
55	4	0	4	18	0	5	1	40	40	0	1	bi kip
56	4	0	4	19	0	5	1	40	40	0	1	bi kip
57	4	0	4	20	0	5	1	40	40	0	1	bi kip
58	4	0	4	21	0	5	1	40	40	0	1	bi kip
59	4	0	4	22	0	5	1	40	40	0	1	bi kip
60	4	0	4	23	0	5	1	40	40	0	1	bi kip
61	4	0	4	24	0	5	1	40	40	0	1	bi kip
62	4	0	4	25	0	5	1	40	40	0	1	bi kip
63	4	0	4	26	0	5	1	40	40	0	1	bi kip
64	4	0	4	27	0	5	1	40	40	0	1	bi kip
65	4	0	4	28	0	5	1	40	40	0	1	bi kip
66	4	0	4	29	0	5	1	40	40	0	1	bi kip
67	4	0	4	30	0	5	1	40	40	0	1	bi kip
68	4	1	2	59	0	5	0	300	500	43200	0	bi kip
69	6	1	0	11	72	5	0	120	120	43200	0	matna
70	6	1	0	11	73	5	0	120	120	43200	0	matna
71	6	1	0	11	74	5	0	120	120	43200	0	matna
72	3	1	5	0	0	5	0	20	50	0	0	TuiMau
73	2	0	2	53	0	5	0	120	150	0	0	BCH120
74	2	1	2	115	0	5	0	120	150	0	0	MocNhan
75	4	1	2	100	0	5	0	1300	1500	43200	0	Dai Thanh Bi Kip
76	5	0	5	13	0	5	0	1000	1000	43200	0	ma bai
77	5	0	5	14	0	5	0	1000	1000	43200	0	ma bai
78	5	0	5	15	0	5	0	1000	1000	43200	0	ma bai
