Name	Quality	Genre	Detail	Particular	Level	GoodsFive	ItemRate	IsPublic
名称	品质	道具类别	具体类别	详细类别	等级	五行	概率	是否公告
1级玄晶矿石	0	6	1	147	1	0	50000	0
2级玄晶矿石	0	6	1	147	2	0	20000	0
3级玄晶矿石	0	6	1	147	3	0	9000	0
4级玄晶矿石	0	6	1	147	4	0	2000	0
5级玄晶矿石	0	6	1	147	5	0	1000	1
板栗粽子	0	6	0	60	1	1	20000	0
猪肉粽子	0	6	0	61	1	1	50000	0
牛肉粽子	0	6	0	62	1	1	20000	0
什锦粽子	0	6	1	63	1	1	10000	0
蜜饯什锦粽子	0	6	1	64	1	1	20000	0
八宝什锦粽子	0	6	1	65	1	1	20000	0
百果什锦粽子	0	6	1	66	1	1	30000	0
水晶什锦粽子	0	6	1	67	1	1	5000	0
屈原什锦粽子	0	6	1	68	1	1	1000	1
桂花酒	0	6	1	125	1	1	10000	0
八珍福月团圆饼	0	6	1	126	1	1	80000	0
奉月果蓉	0	6	1	127	1	1	1000	1
贡月芙蓉	0	6	1	128	1	1	1000	1
豆沙粽子	0	6	1	435	1	1	10000	0
香菇粽子	0	6	1	436	1	1	10000	0
蛋黄粽子	0	6	1	437	1	1	60000	0
易容面具-圣诞老人	0	0	11	199	1	1	3000	0
易容面具-圣诞天使	0	0	11	200	1	1	3000	0
节日面具-大头娃娃	0	0	11	201	1	1	3000	0
节日面具-舞南狮子	0	0	11	202	1	1	3000	0
节日面具-舞北狮子	0	0	11	203	1	1	3000	0
节日面具-舞龙珠	0	0	11	204	1	1	3000	0
节日面具-舞龙头	0	0	11	205	1	1	3000	0
节日面具-舞龙身	0	0	11	206	1	1	3000	0
节日面具-舞龙尾	0	0	11	207	1	1	3000	0
易容面具-雪豹	0	0	11	156	1	1	3000	0
易容面具-青狼	0	0	11	159	1	1	1000	0
易容面具-红狐	0	0	11	162	1	1	1000	0
易容面具-刺猬	0	0	11	164	1	1	1000	0
易容面具-棕熊	0	0	11	167	1	1	1000	0
易容面具-野牛	0	0	11	169	1	1	1000	0
易容面具-梅花鹿	0	0	11	194	1	1	1000	0
易容面具-白猪	0	0	11	195	1	1	1000	0
易容面具-张宗正	0	0	11	139	1	1	3000	0
易容面具-妙如	0	0	11	140	1	1	3000	0
易容面具-柳青青	0	0	11	141	1	1	3000	0
易容面具-应啸风	0	0	11	353	1	1	3000	0
易容面具-褚天悯	0	0	11	355	1	1	3000	0
易容面具-圣诞老人(蓝)	0	0	11	252	1	1	2000	0
易容面具-圣诞老人(粉)	0	0	11	253	1	1	2000	0
易容面具-圣诞老人(白)	0	0	11	254	1	1	2000	0
易容面具-圣诞老人(黄)	0	0	11	255	1	1	2000	0
易容面具-圣诞天使(蓝)	0	0	11	256	1	1	2000	0
易容面具-圣诞天使(粉)	0	0	11	257	1	1	2000	0
易容面具-圣诞天使(白)	0	0	11	258	1	1	2000	0
易容面具-圣诞天使(黄)	0	0	11	259	1	1	2000	0
爱恋巧克力	0	6	1	833	1	1	100000	0
莲蓉月饼	0	6	1	892	1	1	100000	0
蛋黄莲蓉月饼	0	6	1	894	1	1	100000	0
藏宝图	0	6	2	3	1	1	200000	0
武林秘籍	0	6	1	26	1	0	1000	1
洗髓经	0	6	1	22	1	0	1000	1
