MapName	MapID	WorldX	WorldY	MapX	MapY	Text	Pic
地图名	地图ID	大坐标X轴	大坐标Y轴	小坐标X轴	小坐标Y轴	文字描述	图片路径
江津村	20	3734	6288	466	393	江津村芙蓉洞前的小溪旁	spr\treasure\show_001.spr
江津村	20	3453	5940	431	369	江津村最西面亭子边的桃树下	spr\treasure\show_002.spr
江津村	20	3837	6131	479	383	江津村最东面的青石下	spr\treasure\show_003.spr
江津村	20	3559	6445	444	402	江津村最南面的木桥中央	spr\treasure\show_004.spr
南岳镇	54	1466	3099	183	193	南岳镇荒坟中最中央的那个墓碑下	spr\treasure\show_005.spr
南岳镇	54	1706	3057	213	191	南岳镇最北端的牌坊下	spr\treasure\show_006.spr
南岳镇	54	1624	3041	203	190	南岳镇禅院前的枫树底下	spr\treasure\show_007.spr
南岳镇	54	1525	3061	190	191	南岳镇镇西入口的第一棵枫树底下	spr\treasure\show_008.spr
南岳镇	54	1452	3013	181	188	南岳镇西边亭子旁边的红树下	spr\treasure\show_009.spr
巴陵县	53	1806	3148	225	196	巴陵县最东面的码头上	spr\treasure\show_010.spr
巴陵县	53	1568	3212	196	200	俞九州果园里的枫树底下	spr\treasure\show_011.spr
巴陵县	53	1608	3196	201	199	巴陵县入口的牌坊下	spr\treasure\show_012.spr
巴陵县	53	1471	3370	183	210	巴陵县南面的第三个小桥上	spr\treasure\show_013.spr
巴陵县	53	1793	3385	224	211	巴陵县的武陵洞洞口旁	spr\treasure\show_014.spr
龙泉村	174	1783	3045	222	190	龙泉村最北面的那个小湖旁	spr\treasure\show_015.spr
龙泉村	174	1667	3146	208	196	龙泉村北青石下的坟墓边	spr\treasure\show_016.spr
龙泉村	174	1480	3071	185	191	龙泉村清溪洞前	spr\treasure\show_017.spr
龙泉村	174	1638	3509	204	219	龙泉村南面的两块大石间	spr\treasure\show_018.spr
龙泉村	174	1609	3306	201	206	龙泉村前的小潭边	spr\treasure\show_019.spr
龙泉村	174	1600	3054	200	190	龙泉村西面的两块大石间	spr\treasure\show_020.spr
石鼓镇	153	1455	2901	181	181	石鼓镇西面的塔楼下	spr\treasure\show_021.spr
石鼓镇	153	1708	2964	213	185	石鼓镇北面的荷花潭边	spr\treasure\show_022.spr
石鼓镇	153	1756	3175	219	198	石鼓镇东面的石壁下	spr\treasure\show_023.spr
石鼓镇	153	1751	3528	218	220	石鼓镇南面的溪水边	spr\treasure\show_024.spr
石鼓镇	153	1411	3323	175	207	石鼓镇西面的湖畔	spr\treasure\show_025.spr
石鼓镇	153	1441	3044	180	190	石鼓镇西面的无名洞前	spr\treasure\show_026.spr
稻香村	101	1659	2852	207	178	稻香村最北面的小潭边	spr\treasure\show_027.spr
稻香村	101	1454	2971	181	185	稻香村最北面的小桥上	spr\treasure\show_028.spr
稻香村	101	1495	3171	186	198	稻香村西面的残塔下	spr\treasure\show_029.spr
稻香村	101	1818	3140	227	196	稻香村东面出口的青石下	spr\treasure\show_030.spr
稻香村	101	1666	2966	208	185	稻香村北面的武师附近	spr\treasure\show_031.spr
永乐镇	99	1739	3569	217	223	永乐镇东面的塔林间	spr\treasure\show_032.spr
永乐镇	99	1449	3461	181	216	永乐镇南面的乱坟间	spr\treasure\show_033.spr
永乐镇	99	1477	3351	184	209	永乐镇南面的冰河洞前	spr\treasure\show_034.spr
永乐镇	99	1506	3052	188	190	永乐镇北面的残塔下	spr\treasure\show_035.spr
永乐镇	99	1809	3453	226	215	永乐镇东面的乱石岗间	spr\treasure\show_036.spr
朱仙镇	100	1811	2999	226	187	朱仙镇北面的荷花池边	spr\treasure\show_037.spr
朱仙镇	100	1895	3322	236	207	朱仙镇东面的残塔下	spr\treasure\show_038.spr
朱仙镇	100	1851	3356	231	209	朱仙镇东面的飞天洞前	spr\treasure\show_039.spr
朱仙镇	100	1558	3244	194	202	朱仙镇前的牌坊下	spr\treasure\show_040.spr
朱仙镇	100	1352	3247	169	202	朱仙镇西面的小潭边	spr\treasure\show_041.spr
朱仙镇	100	1474	3124	184	195	朱仙镇西面的小溪尽头	spr\treasure\show_042.spr
朱仙镇	100	1658	3036	207	189	朱仙镇外的荷花池边	spr\treasure\show_043.spr
朱仙镇	100	1722	2886	215	180	朱仙镇北面的破庙前	spr\treasure\show_044.spr
朱仙镇	100	1787	2931	223	183	朱仙镇北面荷花池边的亭子上	spr\treasure\show_045.spr
华山	2	2456	3797	307	237	华山中央的一个浑浊的水池前	spr\treasure\show_046.spr
华山派	333	1227	3252	153	203	华山派前的荷花池中央	spr\treasure\show_047.spr
华山派	333	1287	2850	160	178	华山派的玉女峰前	spr\treasure\show_048.spr
华山派	333	1261	2974	157	185	华山派的莲花峰前	spr\treasure\show_049.spr
华山派	333	1444	3282	180	205	华山派的落雁峰前	spr\treasure\show_050.spr
华山派	333	1577	3177	197	198	华山派的朝阳峰前	spr\treasure\show_051.spr
