Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Stack	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6	DefMagic1	DefMagic2	DefMagic3	DefMagic4	DefMagic5	DefMagic6	Group	NeedToActive	TotalSetNum	ExpandMagic1	ExpandMagic2
Méng Long ChÝnh Hång T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	360	360	31	85	85																36	90	32	160	39	0							2	171	46	311	6	155	1	5	5		0
Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	49999	10	0	30	720	720	31	90	90																36	99	32	260	39	0							2	40	170	307	6	324	1	5	5		0
Méng Long HuyÒn Ti Ph¸t §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	0	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	0							418	309	172	311	416	417	1	5	5		0
Méng Long PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Trang bÞ Hoµng Kim	4	49999	10	0																						36	80	39	0									129	130					1	5	5		0
Méng Long §¹t Ma T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	104	6	311			1	5	5		0
Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	0	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	0							48	43	52	71	113	155	2	5	5		0
Phôc Ma HuyÒn Hoµng Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	0							2	306	175	307			2	5	5		0
Phôc Ma ¤ Kim NhuyÔn §iÒu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							418	309	177	311	416	417	2	5	5		0
Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	0									129	130					2	5	5		0
Phôc Ma Phæ §é T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	0							2	325	320	88	6	437	2	5	5		0
Tø Kh«ng Gi¸ng Ma Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	0							2	43	48	71	113	155	3	5	5		0
Tø Kh«ng Tö Kim Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	0							2	306	178	317			3	5	5		0
Tø Kh«ng Hé ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	0							2	309	177	311	416	425	3	5	5		0
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	0							2	417	326	311	6	179	3	5	5		0
Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	0									129	130					3	5	5		0
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	99	32	235	39	1							135	50	46	69	110	73	4	5	5		0
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	1							2	306	180	311			4	5	5		0
