头盔编号	部件编号	
1	20	
2	2	沙弥戒箍
3	2	僧戒箍
4	2	佛印戒箍
5	2	僧迦戒箍
6	3	琨庐帽
7	3	琳莲帽
8	3	芙蓉帽
9	4	谂仑帽
10	4	念宁帽
11	4	毗卢帽
12	5	木簪
13	5	黄杨木簪
14	5	乾坤结
15	5	太极冠
16	6	八卦巾
17	6	乾莰巾
18	6	五岳冠
19	7	上清冠
20	7	星冠
21	7	五老冠
22	8	竹笠
23	8	渔笠
24	8	湛卢草帽
25	8	茱臾草帽
26	9	玄纱面罩
27	9	青煞面罩
28	9	人皮面罩
29	10	五毒发结
30	10	百毒发结
31	10	修罗发结
32	11	儒巾
33	11	进贤冠
34	11	越美冠
35	11	飞燕冠
36	12	貂蝉冠
37	12	琅琊冠
38	12	璎珞冠
39	13	紫金发冠
40	13	七宝发冠
41	13	通天发冠
42	14	铜盔
43	14	半面盔
44	14	双面盔
45	14	铁盔
46	15	精铜头盔
47	15	钢盔
48	15	银盔
49	16	乌钢盔
50	16	金盔
51	16	掩日盔
52	17	破布巾
53	17	八方巾
54	17	逍遥巾
55	17	露天巾
56	18	白食环
57	18	琉璃环
58	18	双层琉璃环
59	19	信义环
60	19	情义环
61	19	摘星环
62	20	布巾
63	20	平顶巾
64	20	布绒巾
65	20	鹰羽巾
66	21	旖丝发带
67	21	金丝冠
68	21	朱绮冠
69	22	莹珏帽
70	22	蚕丝帽
71	22	乌蚕帽
72	2	释尼帽
73	2	释尼帽
74	2	释尼帽
75	2	释尼帽
76	3	青帽
77	3	青缨帽
78	3	天青帽
79	4	赤影发冠
80	4	无相法冠
81	4	观音法冠
82	5	银钗
83	5	银帘钗
84	5	银链钗
85	5	银环钗
86	6	金钗
87	6	金环钗
88	6	金步摇
89	7	翡翠钗
90	7	太极冠
91	7	阴阳无极冠
92	8	皮胄
93	8	铜胄
94	8	精铜胄
95	8	赤豚皮帽
96	9	兽骨簪
97	9	紫骨簪
98	9	玄骨簪
99	10	虎皮面罩
100	10	貂皮面罩
101	10	玄犀面罩
102	11	粗铁头环
103	11	细铁头环
104	11	黄铜头环
105	11	绿玉头环
106	12	鸡尾钗
107	12	鹦羽钗
108	12	盘蛇钗
109	13	朱砂头环
110	13	明珠头环
111	13	龙血头环
112	14	圆帽
113	14	堂帽
114	14	巾管帽
115	14	四角帽
116	15	青凤冠
117	15	金凤冠
118	15	双凤朝天冠
119	16	翡翠盔
120	16	獬豸盔
121	16	龙鳞盔
122	17	布帽
123	17	圆顶帽
124	17	梵纹帽
125	17	青纹盔
126	18	红缨钗
127	18	赤血钗
128	18	琉璃钗
129	19	鹿茸钗
130	19	蓝晶钗
131	19	青星钗
132	20	黄布发带
133	20	黄布发带
134	20	黄布发带
135	20	黄布发带
136	21	黄铜发叉
137	21	红玛瑙发叉
138	21	青琉璃发叉
139	22	戏水盔
140	22	凤眠盔
141	22	金凤展翅
142	15	金枫之青阳盔
143	15	金枫之青阳盔
144	15	金枫之青阳盔
145	15	金枫之青阳盔
