㈨匹钡号	㈨匹部件钡号	说明
1	0	第一行是没有装备的情况，在此处无意义。
2	10	普通黄㈨
3	10	普通黄㈨
4	10	普通黄㈨
5	10	普通黄㈨
6	10	普通黄㈨
7	10	普通黄㈨
8	10	普通黄㈨
9	10	普通黄㈨
10	10	普通黄㈨
11	10	普通黄㈨
12	6	普通堑㈨
13	6	普通堑㈨
14	6	普通堑㈨
15	6	普通堑㈨
16	6	普通堑㈨
17	6	普通堑㈨
18	6	普通堑㈨
19	6	普通堑㈨
20	6	普通堑㈨
21	6	普通堑㈨
22	9	普通白㈨
23	9	普通白㈨
24	9	普通白㈨
25	9	普通白㈨
26	9	普通白㈨
27	9	普通白㈨
28	9	普通白㈨
29	9	普通白㈨
30	9	普通白㈨
31	9	普通白㈨
32	5	普通黑㈨
33	5	普通黑㈨
34	5	普通黑㈨
35	5	普通黑㈨
36	5	普通黑㈨
37	5	普通黑㈨
38	5	普通黑㈨
39	5	普通黑㈨
40	5	普通黑㈨
41	5	普通黑㈨
42	8	普通红㈨
43	8	普通红㈨
44	8	普通红㈨
45	8	普通红㈨
46	8	普通红㈨
47	8	普通红㈨
48	8	普通红㈨
49	8	普通红㈨
50	8	普通红㈨
51	8	普通红㈨
52	7	乌云踏雪，顶级黑
53	2	车兔，顶级红
54	11	绝影，顶级堑
55	4	的，顶级黄
56	3	照夜玉狮子，顶级白
57	7	乌云踏雪，顶级黑
58	2	车兔，顶级红
59	11	绝影，顶级堑
60	4	的，顶级黄
61	3	照夜玉狮子，顶级白
62	12	奔宵，顶级黝黑
63	12	奔宵，顶级黝黑
64	12	奔宵，顶级黝黑
65	12	奔宵，顶级黝黑
66	12	奔宵，顶级黝黑
67	12	奔宵，顶级黝黑
68	12	奔宵，顶级黝黑
69	12	奔宵，顶级黝黑
70	12	奔宵，顶级黝黑
71	12	奔宵，顶级黝黑
72	13	翻羽，顶级雪白
73	13	翻羽，顶级雪白
74	13	翻羽，顶级雪白
75	13	翻羽，顶级雪白
76	13	翻羽，顶级雪白
77	13	翻羽，顶级雪白
78	13	翻羽，顶级雪白
79	13	翻羽，顶级雪白
80	13	翻羽，顶级雪白
81	13	翻羽，顶级雪白
82	14	飞云，顶级堑白
83	14	飞云，顶级堑白
84	14	飞云，顶级堑白
85	14	飞云，顶级堑白
86	14	飞云，顶级堑白
87	14	飞云，顶级堑白
88	14	飞云，顶级堑白
