武器装备编号	人物部件编号
1	2
2	3
3	3
4	3
5	3
6	4
7	4
8	4
9	5
10	5
11	22
12	6
13	6
14	6
15	6
16	7
17	7
18	7
19	8
20	8
21	24
22	12
23	12
24	12
25	12
26	13
27	13
28	13
29	14
30	14
31	28
32	9
33	9
34	9
35	9
36	10
37	10
38	10
39	11
40	11
41	26
42	18
43	18
44	18
45	18
46	19
47	19
48	19
49	20
50	20
51	32
52	15
53	15
54	15
55	15
56	16
57	16
58	16
59	17
60	17
61	30
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	106
73	111
74	108
75	157
76	159
77	161
78	92
79	143
80	92
81	143
82	104
83	107
84	91
85	97
86	139
87	142
88	148
89	155
90	158
91	94
92	145
93	164
94	167
95	170
96	173
97	180
98	183
99	145
100	145
101	145
102	103
103	90
104	141
105	154
106	166
107	179
108	154
109	154
110	154
111	154
112	102
113	153
114	87
115	138
116	163
117	163
118	178
119	138
120	138
121	138
122	89
123	140
124	165
125	140
126	140
127	140
128	140
129	140
130	140
131	140
132	127
133	46
134	47
135	48
136	127
137	127
138	127
139	127
140	127
141	127
142	168
143	181
144	182
145	184
146	185
147	186
148	168
149	168
150	168
151	168
152	63
153	95
154	146
155	171
156	63
157	63
158	63
159	63
160	63
161	63
