武器装备编号	人物部件编号	
1	2	名称
2	21	金钱镖[1]
3	21	少林枣仁镖[2]
4	21	燕子镖[3]
5	21	十字镖[4]
6	21	柳叶镖[5]
7	21	飞蝗镖[6]
8	21	少林亮银飞镖[7]
9	21	蝴蝶镖[8]
10	21	金镖[9]
11	21	霸王镖[10]
12	21	飞刀[1]
13	21	钢飞刀[2]
14	21	柳叶刀[3]
15	21	雁尾刀[4]
16	21	带衣刀[5]
17	21	桃花刀[6]
18	21	光杆刀[7]
19	21	心意刀[8]
20	21	毒机刀[9]
21	21	碎月刀[10]
22	21	袖箭[1]
23	21	足底针[2]
24	21	精装袖箭[3]
25	21	青峰钉[4]
26	21	背装弩[5]
27	21	含沙射影[6]
28	21	破甲弩[7]
29	21	暴雨梨花针[8]
30	21	诸葛弩[9]
31	21	孔雀翎[10]
32	124	森荒之飞星夺魂[1]
33	124	森荒之飞星夺魂[2]
34	124	森荒之飞星夺魂[3]
35	124	森荒之飞星夺魂[4]
36	124	森荒之飞星夺魂[5]
37	124	森荒之飞星夺魂[6]
38	124	森荒之飞星夺魂[7]
39	124	森荒之飞星夺魂[8]
40	124	森荒之飞星夺魂[9]
41	124	[天赐的]森荒之飞星夺魂[10]
42	124	冰寒之弹指飞刀[1]
43	124	冰寒之弹指飞刀[2]
44	124	冰寒之弹指飞刀[3]
45	124	冰寒之弹指飞刀[4]
46	124	冰寒之弹指飞刀[5]
47	124	冰寒之弹指飞刀[6]
48	124	冰寒之弹指飞刀[7]
49	124	冰寒之弹指飞刀[8]
50	124	冰寒之弹指飞刀[9]
51	124	[天赐的]冰寒之弹指飞刀[10]
52	124	天光之花雨漫天[1]
53	124	天光之花雨漫天[2]
54	124	天光之花雨漫天[3]
55	124	天光之花雨漫天[4]
56	124	天光之花雨漫天[5]
57	124	天光之花雨漫天[6]
58	124	天光之花雨漫天[7]
59	124	天光之花雨漫天[8]
60	124	天光之花雨漫天[9]
61	124	[天赐的]天光之花雨漫天[10]
