Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Stack	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6
Sa Di Phôc	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-1.spr	22	2	3	T¨ng y dµnh cho c¸c tiÓu Sa Di võa nhËp m«n		100	1	0	30	50	50	31	15	15																36	1	32	30					38	0		
T¨ng Y	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-1.spr	22	2	3	Y phôc t¨ng nh©n th­êng mÆc		400	2	0	30	100	100	31	20	20																36	7	32	50					38	0		
B¸ch N¹p Y	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-2.spr	22	2	3	Th­êng phôc chñ yÕu cña c¸c T¨ng nh©n H¸n triÒu		800	3	0	30	150	150	31	25	25																36	13	32	70					38	0		
An §µ Héi	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-3.spr	22	2	3	Cßn gäi lµ Ngò §iÒu y, ¸o cña c¸c t¨ng nh©n mÆc trong nh÷ng lóc th«ng th­êng		1000	4	0	30	200	200	31	30	30																36	19	32	90					38	0		
UÊt §a La T¨ng	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-1.spr	22	2	3	Cßn gäi lµ ThÊt §iÒu y, ¸o cña c¸c t¨ng nh©n mÆc trong nh÷ng lóc trang nghiªm		2000	5	0	30	250	250	31	35	35																36	26	32	110					38	0		
T¨ng Giµ Y	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-2.spr	22	2	3	LÔ phôc cña t¨ng nh©n, mÆc trong nh÷ng lóc trang nghiªm		3000	6	0	30	300	300	31	40	40																36	33	32	130					38	0		
NguyÖn B¹ch Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	Cßn gäi lµ ThÊt §iÒu y, y phôc cña c¸c t¨ng nh©n chøc vÞ cao		4000	7	0	30	250	250	31	45	45																36	40	32	150					38	0		
Minh TÜnh Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Y phôc th­êng ngµy cña c¸c vÞ cao t¨ng		5000	8	0	30	400	400	31	50	50																36	46	32	170					38	0		
Kim L« Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	B¶o vËt cña PhËt m«n		7500	9	0	30	450	450	31	55	55																36	53	32	190					38	0		
ThÊt B¶o Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Lµ "PhËt M«n Chi B¶o", do PhËt Tæ tÆng cho §­êng Tam T¹ng khi ®i thØnh kinh		10000	10	0	30	500	500	31	60	60																36	60	32	210					38	0		
ChiÕc ¸o kho¸c cña §¹o sÜ 	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-1.spr	24	2	3	Lµ y phôc cña c¸c ®¹o sÜ th­êng mÆc khi luyÖn vâ.		100	1	0	30	30	30	31	15	15																36	1	32	20					38	0	37	4
§¹o SÜ Tr­êng Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-1.spr	24	2	3	Y phôc th­êng ngµy cña §¹o sÜ.		300	2	0	30	60	60	31	20	20																36	7	32	30					38	0	37	4
TÜnh Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-2.spr	24	2	3	LÔ phôc cña c¸c §¹o sÜ th­êng mÆc khi lµm phÐp		600	3	0	30	90	90	31	25	25																36	13	32	40					38	0	37	4
Thanh Tïng Ph¸p Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth04-3.spr	24	2	3	Y phôc cña nh÷ng ®¹o sÜ míi nhËp m«n		900	4	0	30	120	120	31	30	30																36	19	32	50					38	0	37	4
Thiªn S­ §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-1.spr	24	2	3	Y phôc chØ dµnh cho nh÷ng ng­êi ®¹o h¹nh th©m s©u, ®­îc t«n danh Thiªn S­ 		1600	5	0	30	150	150	31	35	35																36	26	32	60					38	0	37	4
HuyÒn Vâ Ph¸p Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-2.spr	24	2	3	TËp hîp linh khÝ HuyÒn Vâ, "HuyÒn M«n Chi B¶o"		2500	6	0	30	180	180	31	40	40																36	33	32	70					38	0	37	4
ThÊt B¶o H¹ Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Tr«ng bªn ngoµi cã vÎ tÇm th­êng, nh­ng thùc chÊt lµ mét "b¶o y".		3500	7	0	30	210	210	31	45	45																36	40	32	80					38	0	37	4
Tam Thanh Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-1.spr	24	2	3	Ph¶n tµ quy ch¸nh, ng­êi mÆc nã lu«n cã lßng thiÖn t©m. 		4500	8	0	30	240	240	31	50	50																36	46	32	90					38	0	37	4
Thiªn Niªn H¹c S­ëng	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-2.spr	24	2	3	Dïng l«ng H¹c ®Ó ®iÓm xuyÕn xung quanh, ®©y chÝnh lµ sù t­îng tr­ng cho trÝ tuÖ. 		6000	9	0	30	270	270	31	55	55																36	53	32	100					38	0	37	4
Ch©n Thøc Th¸nh Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	MÆc vµo sÏ gióp ta t¨ng nhanh thÇn lùc		8000	10	0	30	300	300	31	60	60																36	60	32	110					38	0	37	4
Cæn Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-1.spr	22	2	3	Lo¹i ¸o dµnh cho c¸c s¸t thñ cÊp thÊp nhÊt Èn giÊu th©n phËn		100	1	0	30	80	80	31	20	20																36	1	32	30	33	20			38	0		
TÕ Tróc Cæn Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-1.spr	22	2	3	Cæn y ®­îc ®Æc chÕ.		500	2	0	30	135	135	31	25	25																36	7	32	50	33	30			38	0		
ThÝch Kh¸ch Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-2.spr	22	2	3	Còng gièng nh­ Cæn y nh­ng cã nhiÒu tói ®Ó chøa ¸m khÝ. 		1000	3	0	30	190	190	31	30	30																36	13	32	70	33	40			38	0		
Méng MÞ Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	Dïng c¸c vËt liÖu ®Æc biÖt mµ chÕ thµnh, sö dông linh ho¹t. 		2500	4	0	30	245	245	31	35	35																36	19	32	90	33	50			38	0		
V« S¾c Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-1.spr	22	2	3	Cã thÓ tµng h×nh ®i vµo nhiÒu n¬i, thÝch hîp cho s¸t thñ.		6000	5	0	30	300	300	31	40	40																36	26	32	110	33	60			38	0		
Ng­ NhÉn Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-2.spr	22	2	3	Trang bÞ cho c¸c s¸t thñ cÊp cao. 		10000	6	0	30	355	355	31	45	45																36	33	32	130	33	70			38	0		
Liªn V©n Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Y phôc hiÕm cã, tÝnh linh ho¹t vµ tÝnh phßng ngù cùc cao		15000	7	0	30	410	410	31	50	50																36	40	32	150	33	80			38	0		
Thiªn Méng Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-1.spr	22	2	3	Ng­êi mÆc vµo h×nh bãng gièng nh­ trong m¬, kh«ng thÓ b¾t ®­îc		20000	8	0	30	465	465	31	55	55																36	46	32	170	33	90			38	0		
