Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Stack	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6
Thanh §ång Thñ Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle01.spr	35	1	2	Lo¹i vßng ®­îc tinh chÕ tõ §ång, kh¶ n¨ng phßng ngù rÊt tèt. 		100	1	0	30	13	13	31	20	20																36	1	32	0	33	0			38	1		
LuyÖn §ång Thñ Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle02.spr	35	1	2	Lo¹i vßng ®­îc tinh chÕ tõ §ång, kh¶ n¨ng phßng ngù rÊt tèt. 		300	2	0	30	22	22	31	20	20																36	8	32	20	33	0			38	1		
TÊn ThiÕt Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle03.spr	35	1	2	Lo¹i hé gi¸p ®­îc tinh chÕ tõ thÐp giµ, phßng ngù rÊt tèt		600	3	0	30	33	33	31	20	20																36	14	32	27	33	0			38	1		
Ng©n T¬ Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle04.spr	35	1	2	Lo¹i vßng b»ng b¹c nhá, cã thÓ dïng ®Ó trang søc. 		1000	4	0	30	45	45	31	20	20																36	20	32	35	33	0			38	1		
Kim T¬ Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle05.spr	35	1	2	Lo¹i vßng b»ngvµng nhá, cã thÓ dïng ®Ó trang søc. 		1800	5	0	30	56	56	31	20	20																36	27	32	42	33	0			38	1		
B¹ch Ngäc Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle06.spr	35	1	2	Mµi tõ B¹ch Ngäc, cùc kú quý hiÕm. 		2600	6	0	30	67	67	31	20	20																36	33	32	49	33	0			38	1		
PhØ Thóy Ngäc Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle07.spr	35	1	2	Mµu s¾c trang nh·, lµm ®å trang søc. 		3600	7	0	30	78	78	31	20	20																36	40	32	56	33	0			38	1		
 ¤n L­¬ng Ngäc Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle08.spr	35	1	2	Bªn trong cã ¢m d­¬ng hßa khÝ, §«ng Êm, H¹ m¸t. 		4900	8	0	30	89	89	31	20	20																36	47	32	64	33	0			38	1		
B¨ng Ph¸ch Hµn Ngäc Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Mµi tõ lo¹i B¹ch Ngäc ngµn n¨m, khÝ l¹nh kinh ng­êi. 		6400	9	0	30	100	100	31	20	20																36	54	32	72	33	0			38	1		
Long Phông HuyÕt Ngäc Tr¹c	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Lµ lo¹i vßng ®eo cã tiÒm Èn søc m¹nh thÇn bÝ. 		8100	10	0	30	111	111	31	20	20																36	60	32	80	33	0			38	1		
Ng­u B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle11.spr	34	1	2	Lµ lo¹i hé uyÓn th«ng th­êng b»ng da tr©u, ®ao kiÕm khã ®©m thñng. 		100	1	0	30	13	13	31	20	20																36	1	32	0	33	0			38	0		
Lang B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle12.spr	34	1	2	Lµm b»ng da sãi, mÒm dÎo linh ho¹t. 		300	2	0	30	22	22	31	20	20																36	8	32	20	33	0			38	0		
