szName	nPos	nClass	nLevel	nPropKind	Min1	Max1	Min2	Max2	Min3	Max3	szIntro	MeleeWeapon	RangeWeapon	Armor	Ring	Amorlet	Boots	Belt	Help	Cuff	Pendant	Horse
T¨ng hiÖu qu¶ s¸t th­¬ng	1		1	126	5	10	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		2	126	10	20	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		3	126	20	30	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		4	126	30	40	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		5	126	30	50	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		6	126	30	60	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		7	126	30	70	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		8	126	30	80	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		9	126	30	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng hiÖu qu¶ s¸t th­¬ng	1		10	126	51	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		1	166	10	30	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		2	166	30	60	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		3	166	60	90	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		4	166	90	120	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		5	166	90	150	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		6	166	90	180	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		7	166	90	210	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		8	166	90	240	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		9	166	90	300	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng chÝnh x¸c	1		10	166	222	300	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		2	115	10	10	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		5	115	20	20	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	10000	10000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		9	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	5000	5000	0	0	0	0	0	0	0	0	0
T¨ng tèc ®é c«ng kÝch	1		10	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
Bá qua phßng thñ ®èi ph­¬ng	1		10	58	1	1	-1	-1	0	0	Bá qua phßng thñ ®èi ph­¬ng	10000	10000	0	0	0	0	0	0	0	0	0
Kh«ng thÓ ph¸ hñy	1		10	43	1	1	-1	-1	0	0	Kh«ng thÓ ph¸ hñy	100	100	100	0	0	100	100	100	100	0	0
T¨ng phßng thñ ®èi ®a	1		1	150	20	30	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		2	150	30	40	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		3	150	40	50	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		4	150	50	60	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		5	150	60	70	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		6	150	60	85	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		7	150	60	110	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		8	150	60	150	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		9	150	60	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
T¨ng phßng thñ ®èi ®a	1		10	150	200	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
