Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Stack	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6
Kim TiÒn Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i phi tiªu b»ng ®ång th«ng th­êng. 		20	1	1	28	4	4	29	9	9	167	0	0	31	50	50										36	0	32	0	33	30						
ThiÕu L©m T¸o Nh©n Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i ¸m khÝ b»ng ®ång, nhá nh­ h¹t t¸o. 		30	2	1	28	7	7	29	18	18	167	0	0	31	50	50										36	9	32	10	33	45						
YÕn Tö Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i phi tiªu nh­ ®u«i chim yÕn, bay kh«ng nghe tiÕng kªu, h¹ thñ chÝnh x¸c. 		40	3	1	28	12	12	29	28	28	167	0	0	31	50	50										36	18	32	15	33	60						
ThËp Tù Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	Lo¹i phi tiªu c¸c nhÉn gi¶ NhËt B¶n th­êng thÝch sö dông, nh­ng tiÕng kªu rÊt to. 		60	4	1	28	15	15	29	36	36	167	0	0	31	50	50										36	27	32	20	33	75						
LiÔu DiÖp Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	Máng nh­ l¸ liÔu, kü thuËt ph¶i thËt ®iªu luyÖn míi cã thÓ phãng tróng. 		80	5	1	28	19	19	29	44	44	167	0	0	31	50	50										36	36	32	30	33	90						
Phi Hoµng Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	Th©n cã hai c¸nh, sau ®u«i cã mét mãc c©u, lµ lo¹i ¸m khÝ rÊt lîi h¹i. 		100	6	1	28	23	23	29	54	54	167	0	0	31	50	50										36	45	32	40	33	105						
ThiÕu L©m L­îng Ng©n Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	Ng­êi xuÊt gia lÊy tõ bi lµm ®Çu, ¸m khÝ chØ s¸t th­¬ng nhÑ. 		140	7	1	28	27	27	29	63	63	167	0	0	31	50	50										36	54	32	50	33	120						
Hå §iÖp Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	H×nh nh­ b­¬m b­ím, cã thÓ bay l­în trong kh«ng trung. 		180	8	1	28	31	31	29	72	72	167	0	0	31	50	50										36	63	32	60	33	135						
Kim Tiªu 	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	Lo¹i phi tiªu b»ng s¾t ®Çu bÞt vµng, nhän vµ rÊt nÆng, ph¶i cã søc m¹nh míi cã thÓ sö dông. 		250	9	1	28	34	34	29	81	81	167	0	0	31	50	50										36	72	32	70	33	150						
B¸ V­¬ng Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Lo¹i phi tiªu nµy ®óng ra ph¶i gäi lµ minh khÝ, h×nh d¹ng to lín kh«ng thÓ gäi lµ ¸m khÝ. 		330	10	1	28	38	38	29	89	89	167	0	0	31	50	50										36	81	32	80	33	155						
Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	Lo¹i phi tiªu nµy trõ phi lµ c¸c cao thñ sö dông, nÕu kh«ng sÏ kh«ng cã c«ng hiÖu. 		20	1	1	28	6	6	29	11	11	167	-20	-20	31	50	50										36	0	32	20	33	30						
Cang Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	Lo¹i phi ®ao ®­îc lµm tõ thÐp tinh chÕ. 		30	2	1	28	9	9	29	20	20	167	-20	-20	31	50	50										36	9	32	28	33	40						
LiÔu DiÖp §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	Lo¹i ®ao cùc máng, tèc ®é rÊt nhanh. 		40	3	1	28	14	14	29	30	30	167	-20	-20	31	50	50										36	18	32	39	33	50						
Nh¹n VÜ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	Th©n nhá vµ dµi, rÊt khã sö dông, cÇn ph¶i cã tr×nh ®é nhÊt ®Þnh míi cã thÓ dïng. 		60	4	1	28	17	17	29	38	38	167	-20	-20	31	50	50										36	27	32	49	33	60						
§¸i Y §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	ChÕ t¹o tõ hîp kim, sö dông ®¬n gi¶n, søc s¸t th­¬ng lín. 		80	5	1	28	21	21	29	46	46	167	-20	-20	31	50	50										36	36	32	59	33	70						
§µo Hoa §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao nhá vµ máng. 		100	6	1	28	25	25	29	56	56	167	-20	-20	31	50	50										36	45	32	69	33	80						
Quang C¸n §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Lo¹i phi ®ao kh«ng cã chu«i, chØ dïng ch­ëng lùc ®Ó phãng ®i, rÊt khã sö dông. 		140	7	1	28	29	29	29	65	65	167	-20	-20	31	50	50										36	54	32	79	33	90						
T©m ý §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Tïy ý mµ phãng, b¸ch ph¸t b¸ch tróng, lµ lo¹i ¸m khÝ rÊt h÷u dông		180	8	1	28	33	33	29	74	74	167	-20	-20	31	50	50										36	63	32	89	33	100						
