等级	升级需要经验
1	100
2	500
3	1100
4	1900
5	2900
6	4100
7	5500
8	7100
9	8900
10	10900
11	13100
12	15700
13	18700
14	22100
15	25900
16	30100
17	34700
18	39700
19	45100
20	50900
21	57100
22	63900
23	71300
24	79300
25	87900
26	97100
27	106900
28	117300
29	128300
30	139900
31	152100
32	165400
33	179800
34	195300
35	211900
36	229600
37	248400
38	268300
39	289300
40	311400
41	334600
42	360400
43	388800
44	419800
45	453400
46	489600
47	528400
48	569800
49	613800
50	660400
51	709600
52	766000
53	829600
54	900400
55	978400
56	1063600
57	1156000
58	1255600
59	1362400
60	1476400
61	1597600
62	1738200
63	1898200
64	2077600
65	2276400
66	2494600
67	2732200
68	2989200
69	3265600
70	3561400
71	3876600
72	4240200
73	4652200
74	5112600
75	5621400
76	6178600
77	6784200
78	7438200
79	8140600
80	8891400
81	9690600
82	10600800
83	11622000
84	12754200
85	13997400
86	15351600
87	16816800
88	18393000
89	20080200
90	21878400
91	23787600
92	25933000
93	28314600
94	30932400
95	33786400
96	36876600
97	40203000
98	43765600
99	47564400
100	50000000
101	50000000
102	50000000
103	50000000
104	50000000
105	50000000
106	50000000
107	50000000
108	50000000
109	50000000
110	60000000
111	60000000
112	60000000
113	60000000
114	60000000
115	60000000
116	60000000
117	60000000
118	60000000
119	60000000
120	100000000
121	100000000
122	100000000
123	100000000
124	100000000
125	120000000
126	120000000
127	120000000
128	120000000
129	120000000
130	160000000
131	160000000
132	160000000
133	160000000
134	160000000
135	200000000
136	200000000
137	200000000
138	200000000
139	200000000
140	300000000
141	300000000
142	300000000
143	300000000
144	300000000
145	500000000
146	500000000
147	500000000
148	500000000
149	500000000
150	800000000
151	800000000
152	800000000
153	800000000
154	800000000
155	1200000000
156	1200000000
157	1200000000
158	1200000000
159	1200000000
160	1800000000
161	1800000000
162	1800000000
163	1800000000
164	1800000000
165	2000000000
166	2000000000
167	2000000000
168	2000000000
169	2000000000
170	2000000000
171	2000000000
172	2000000000
173	2000000000
174	2000000000
175	2000000000
176	2000000000
177	2000000000
178	2000000000
179	2000000000
180	2000000000
181	2000000000
182	2000000000
183	2000000000
184	2000000000
185	2000000000
186	2000000000
187	2000000000
188	2000000000
189	2000000000
190	2000000000
191	2000000000
192	2000000000
193	2000000000
194	2000000000
195	2000000000
196	2000000000
197	2000000000
198	2000000000
199	2000000000
200	2000000000
201	2000000000
202	2000000000
203	2000000000
204	2000000000
205	2000000000
206	2000000000
207	2000000000
208	2000000000
209	2000000000
210	2000000000
211	2000000000
212	2000000000
213	2000000000
214	2000000000
215	2000000000
216	2000000000
217	2000000000
218	2000000000
219	2000000000
220	2000000000
221	2000000000
222	2000000000
223	2000000000
224	2000000000
225	2000000000
226	2000000000
227	2000000000
228	2000000000
229	2000000000
230	2000000000
231	2000000000
232	2000000000
233	2000000000
234	2000000000
235	2000000000
236	2000000000
237	2000000000
238	2000000000
239	2000000000
240	2000000000
241	2000000000
242	2000000000
243	2000000000
244	2000000000
245	2000000000
246	2000000000
247	2000000000
248	2000000000
249	2000000000
250	2000000000
